morphism_id,source,relation,target,evidence_tier,source_type,validation_status,citation_status,quantitative_status,pmid_count,pmids,has_context,has_full_text,source_mentioned,target_mentioned,endpoint_context_match,relation_support_heuristic,relation_context_support,quantitative_value_support,risk_flags
inhibits:Dapiprazole->ADRA1A,Dapiprazole,inhibits,ADRA1A,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Daratumumab->CD38,Daratumumab,inhibits,CD38,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Daridorexant->HCRTR1,Daridorexant,inhibits,HCRTR1,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Daridorexant->HCRTR2,Daridorexant,inhibits,HCRTR2,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Darifenacin Hydrobromide->CHRM2,Darifenacin Hydrobromide,inhibits,CHRM2,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Darifenacin Hydrobromide->CHRM3,Darifenacin Hydrobromide,inhibits,CHRM3,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Darolutamide->AR,Darolutamide,inhibits,AR,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Dasatinib Anhydrous->ABL1,Dasatinib Anhydrous,inhibits,ABL1,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Dasatinib Anhydrous->EPHA2,Dasatinib Anhydrous,inhibits,EPHA2,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Dasatinib Anhydrous->KIT,Dasatinib Anhydrous,inhibits,KIT,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Dasatinib Anhydrous->PDGFRB,Dasatinib Anhydrous,inhibits,PDGFRB,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Daunorubicin->TOP2A,Daunorubicin,inhibits,TOP2A,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Daxibotulinumtoxina->SNAP25,Daxibotulinumtoxina,inhibits,SNAP25,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Decitabine->DNMT1,Decitabine,inhibits,DNMT1,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Decitabine->DNMT3A,Decitabine,inhibits,DNMT3A,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Degarelix->GNRHR,Degarelix,inhibits,GNRHR,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Demecarium->ACHE,Demecarium,inhibits,ACHE,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Denileukin Diftitox->EEF2,Denileukin Diftitox,inhibits,EEF2,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Denosumab->TNFSF11,Denosumab,inhibits,TNFSF11,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
