drug,drug_inn,disease,mechanism_target,terminal_relation,mechanism_strength,composite_confidence,pubmed_comentions,pubmed_drug_in_cancer,novelty_class,known_cheap_generic,any_trial_or_paper_found,verdict_WORTH_READING_TRIED_WRONG,checker_note,target_zone
Niclosamide,Niclosamide,Prostate_Cancer,STAT3,associated_with,co-occurrence,0.4675,37,337,WELL_STUDIED_PAIR,YES,,,,
Niclosamide,Niclosamide,CLL,STAT3,associated_with,co-occurrence,0.4675,0,337,KNOWN_DRUG_NEW_CANCER,YES,,,,
Niclosamide,Niclosamide,GIST,STAT3,associated_with,co-occurrence,0.4675,2,337,KNOWN_DRUG_NEW_CANCER,YES,,,,
Niclosamide,Niclosamide,NSCLC,STAT3,associated_with,co-occurrence,0.4675,10,337,KNOWN_DRUG_NEW_CANCER,YES,,,,
Niclosamide,Niclosamide,Melanoma,STAT3,associated_with,co-occurrence,0.4675,16,337,KNOWN_DRUG_NEW_CANCER,YES,,,,
Niclosamide,Niclosamide,Ewing_Sarcoma,STAT3,associated_with,co-occurrence,0.4675,0,337,KNOWN_DRUG_NEW_CANCER,YES,,,,
Niclosamide,Niclosamide,HCC,STAT3,associated_with,co-occurrence,0.4675,13,337,KNOWN_DRUG_NEW_CANCER,YES,,,,
Niclosamide,Niclosamide,Multiple_Myeloma,STAT3,associated_with,co-occurrence,0.4675,3,337,KNOWN_DRUG_NEW_CANCER,YES,,,,
Cisplatin,Cisplatin,Pancreatic_Cancer,TP53,associated_with,co-occurrence,0.4675,751,51127,WELL_STUDIED_PAIR,YES,,,,
Cisplatin,Cisplatin,Myelofibrosis,TP53,associated_with,co-occurrence,0.4675,3,51127,KNOWN_DRUG_NEW_CANCER,YES,,,,
Cisplatin,Cisplatin,Type2_Diabetes,TP53,associated_with,co-occurrence,0.4675,0,51127,KNOWN_DRUG_NEW_CANCER,YES,,,,
Cisplatin,Cisplatin,Glioblastoma,TP53,associated_with,co-occurrence,0.4675,516,51127,WELL_STUDIED_PAIR,YES,,,,
Cisplatin,Cisplatin,CML,TP53,associated_with,co-occurrence,0.4675,29,51127,WELL_STUDIED_PAIR,YES,,,,
Cisplatin,Cisplatin,Prostate_Cancer,TP53,associated_with,co-occurrence,0.4675,704,51127,WELL_STUDIED_PAIR,YES,,,,
Cisplatin,Cisplatin,GIST,TP53,associated_with,co-occurrence,0.4675,16,51127,KNOWN_DRUG_NEW_CANCER,YES,,,,
Cisplatin,Cisplatin,Melanoma,TP53,associated_with,co-occurrence,0.4675,1476,51127,WELL_STUDIED_PAIR,YES,,,,
Cisplatin,Cisplatin,HCC,TP53,associated_with,co-occurrence,0.4675,1094,51127,WELL_STUDIED_PAIR,YES,,,,
Cisplatin,Cisplatin,Multiple_Myeloma,TP53,associated_with,co-occurrence,0.4675,144,51127,WELL_STUDIED_PAIR,YES,,,,
Bazedoxifene,Bazedoxifene,Ovarian_Cancer,IL6,associated_with,co-occurrence,0.465,9,174,KNOWN_DRUG_NEW_CANCER,,,,,
Oxaliplatin,Oxaliplatin,Pancreatic_Cancer,TP53,associated_with,co-occurrence,0.462,961,13815,WELL_STUDIED_PAIR,YES,,,,
Oxaliplatin,Oxaliplatin,Myelofibrosis,TP53,associated_with,co-occurrence,0.462,0,13815,KNOWN_DRUG_NEW_CANCER,YES,,,,
Oxaliplatin,Oxaliplatin,Type2_Diabetes,TP53,associated_with,co-occurrence,0.462,0,13815,KNOWN_DRUG_NEW_CANCER,YES,,,,
Oxaliplatin,Oxaliplatin,Glioblastoma,TP53,associated_with,co-occurrence,0.462,35,13815,WELL_STUDIED_PAIR,YES,,,,
Oxaliplatin,Oxaliplatin,CML,TP53,associated_with,co-occurrence,0.462,4,13815,KNOWN_DRUG_NEW_CANCER,YES,,,,
Oxaliplatin,Oxaliplatin,Prostate_Cancer,TP53,associated_with,co-occurrence,0.462,78,13815,WELL_STUDIED_PAIR,YES,,,,
Oxaliplatin,Oxaliplatin,RCC,TP53,associated_with,co-occurrence,0.462,14,13815,KNOWN_DRUG_NEW_CANCER,YES,,,,
Oxaliplatin,Oxaliplatin,GIST,TP53,associated_with,co-occurrence,0.462,3,13815,KNOWN_DRUG_NEW_CANCER,YES,,,,
Oxaliplatin,Oxaliplatin,Melanoma,TP53,associated_with,co-occurrence,0.462,89,13815,WELL_STUDIED_PAIR,YES,,,,
Oxaliplatin,Oxaliplatin,HCC,TP53,associated_with,co-occurrence,0.462,387,13815,WELL_STUDIED_PAIR,YES,,,,
Oxaliplatin,Oxaliplatin,Multiple_Myeloma,TP53,associated_with,co-occurrence,0.462,19,13815,KNOWN_DRUG_NEW_CANCER,YES,,,,
Chloroquine,Chloroquine,Ovarian_Cancer,TP53,associated_with,co-occurrence,0.46,72,1971,WELL_STUDIED_PAIR,YES,,,,
Carboplatin,Carboplatin,Pancreatic_Cancer,TP53,associated_with,co-occurrence,0.4565,70,13940,WELL_STUDIED_PAIR,YES,,,,
Carboplatin,Carboplatin,Myelofibrosis,TP53,associated_with,co-occurrence,0.4565,5,13940,KNOWN_DRUG_NEW_CANCER,YES,,,,
Carboplatin,Carboplatin,Type2_Diabetes,TP53,associated_with,co-occurrence,0.4565,0,13940,KNOWN_DRUG_NEW_CANCER,YES,,,,
Carboplatin,Carboplatin,Glioblastoma,TP53,associated_with,co-occurrence,0.4565,186,13940,WELL_STUDIED_PAIR,YES,,,,
Carboplatin,Carboplatin,CML,TP53,associated_with,co-occurrence,0.4565,16,13940,KNOWN_DRUG_NEW_CANCER,YES,,,,
Carboplatin,Carboplatin,Prostate_Cancer,TP53,associated_with,co-occurrence,0.4565,237,13940,WELL_STUDIED_PAIR,YES,,,,
Carboplatin,Carboplatin,RCC,TP53,associated_with,co-occurrence,0.4565,11,13940,KNOWN_DRUG_NEW_CANCER,YES,,,,
Carboplatin,Carboplatin,GIST,TP53,associated_with,co-occurrence,0.4565,6,13940,KNOWN_DRUG_NEW_CANCER,YES,,,,
Carboplatin,Carboplatin,Melanoma,TP53,associated_with,co-occurrence,0.4565,264,13940,WELL_STUDIED_PAIR,YES,,,,
Carboplatin,Carboplatin,HCC,TP53,associated_with,co-occurrence,0.4565,41,13940,WELL_STUDIED_PAIR,YES,,,,
Carboplatin,Carboplatin,Multiple_Myeloma,TP53,associated_with,co-occurrence,0.4565,28,13940,WELL_STUDIED_PAIR,YES,,,,
Suramin,Suramin,Colorectal_Cancer,VEGFR2,associated_with,co-occurrence,0.455,5,411,KNOWN_DRUG_NEW_CANCER,,,,,
Mebendazole,Mebendazole,Pancreatic_Cancer,VEGFR2,associated_with,co-occurrence,0.451,4,149,KNOWN_DRUG_NEW_CANCER,YES,,,,
Mebendazole,Mebendazole,Myelofibrosis,VEGFR2,associated_with,co-occurrence,0.451,0,149,KNOWN_DRUG_NEW_CANCER,YES,,,,
Mebendazole,Mebendazole,Type2_Diabetes,VEGFR2,associated_with,co-occurrence,0.451,0,149,KNOWN_DRUG_NEW_CANCER,YES,,,,
Mebendazole,Mebendazole,Glioblastoma,VEGFR2,associated_with,co-occurrence,0.451,24,149,KNOWN_DRUG_NEW_CANCER,YES,,,,
Mebendazole,Mebendazole,CML,VEGFR2,associated_with,co-occurrence,0.451,2,149,KNOWN_DRUG_NEW_CANCER,YES,,,,
Mebendazole,Mebendazole,Prostate_Cancer,VEGFR2,associated_with,co-occurrence,0.451,5,149,KNOWN_DRUG_NEW_CANCER,YES,,,,
Mebendazole,Mebendazole,Ewing_Sarcoma,VEGFR2,associated_with,co-occurrence,0.451,0,149,KNOWN_DRUG_NEW_CANCER,YES,,,,
Mebendazole,Mebendazole,Multiple_Myeloma,VEGFR2,associated_with,co-occurrence,0.451,4,149,KNOWN_DRUG_NEW_CANCER,YES,,,,
Chloroquine,Chloroquine,RCC,MTOR,associated_with,co-occurrence,0.451,20,1971,KNOWN_DRUG_NEW_CANCER,YES,,,,
Disulfiram,Disulfiram,Breast_Cancer,TP53,associated_with,co-occurrence,0.451,107,590,WELL_STUDIED_PAIR,YES,,,,
Bazedoxifene,Bazedoxifene,NSCLC,IL6,associated_with,co-occurrence,0.45,4,174,KNOWN_DRUG_NEW_CANCER,,,,,
Bazedoxifene,Bazedoxifene,Pancreatic_Cancer,IL6,associated_with,co-occurrence,0.45,7,174,KNOWN_DRUG_NEW_CANCER,,,,,
Bazedoxifene,Bazedoxifene,CML,IL6,associated_with,co-occurrence,0.45,0,174,KNOWN_DRUG_NEW_CANCER,,,,,
Bazedoxifene,Bazedoxifene,Colorectal_Cancer,IL6,associated_with,co-occurrence,0.45,7,174,KNOWN_DRUG_NEW_CANCER,,,,,
Chloroquine,Chloroquine,NSCLC,TP53,associated_with,co-occurrence,0.45,106,1971,WELL_STUDIED_PAIR,YES,,,,
Nitroglycerin,Nitroglycerin,Glioblastoma,HIF1A,associated_with,co-occurrence,0.45,1,107,KNOWN_DRUG_NEW_CANCER,YES,,,,
Artesunate,Artesunate,GIST,VEGFR2,associated_with,co-occurrence,0.44,0,458,KNOWN_DRUG_NEW_CANCER,,,,,
Cimetidine,Cimetidine,GIST,VEGFR2,associated_with,co-occurrence,0.44,2,355,KNOWN_DRUG_NEW_CANCER,YES,,,,
Disulfiram,Disulfiram,Glioblastoma,NPL4,associated_with,co-occurrence,0.44,61,590,WELL_STUDIED_PAIR,YES,,,,
Chloroquine,Chloroquine,Breast_Cancer,MTOR,associated_with,co-occurrence,0.44,270,1971,WELL_STUDIED_PAIR,YES,,,,
Chloroquine,Chloroquine,Colorectal_Cancer,TP53,associated_with,co-occurrence,0.44,132,1971,WELL_STUDIED_PAIR,YES,,,,
Chloroquine,Chloroquine,AML,MTOR,associated_with,co-occurrence,0.44,51,1971,WELL_STUDIED_PAIR,YES,,,,
Nitroglycerin,Nitroglycerin,Pancreatic_Cancer,HIF1A,associated_with,co-occurrence,0.432,0,107,KNOWN_DRUG_NEW_CANCER,YES,,,,
Metformin,Metformin,Soft_Tissue_Sarcoma,MTOR,associated_with,co-occurrence,0.429,5,5396,KNOWN_DRUG_NEW_CANCER,YES,,,,
Metformin,Metformin,Myelofibrosis,MTOR,associated_with,co-occurrence,0.429,2,5396,KNOWN_DRUG_NEW_CANCER,YES,,,,
Metformin,Metformin,Li_Fraumeni_Syndrome,MTOR,associated_with,co-occurrence,0.429,9,5396,KNOWN_DRUG_NEW_CANCER,YES,,,,
Metformin,Metformin,CML,MTOR,associated_with,co-occurrence,0.429,28,5396,WELL_STUDIED_PAIR,YES,,,,
Metformin,Metformin,Prostate_Cancer,MTOR,associated_with,co-occurrence,0.429,403,5396,WELL_STUDIED_PAIR,YES,,,,
Metformin,Metformin,CLL,MTOR,associated_with,co-occurrence,0.429,10,5396,KNOWN_DRUG_NEW_CANCER,YES,,,,
Metformin,Metformin,GIST,MTOR,associated_with,co-occurrence,0.429,1,5396,KNOWN_DRUG_NEW_CANCER,YES,,,,
Metformin,Metformin,Ewing_Sarcoma,MTOR,associated_with,co-occurrence,0.429,4,5396,KNOWN_DRUG_NEW_CANCER,YES,,,,
Metformin,Metformin,Multiple_Myeloma,MTOR,associated_with,co-occurrence,0.429,65,5396,WELL_STUDIED_PAIR,YES,,,,
Ruxolitinib,Ruxolitinib,Breast_Cancer,Ovarian_Cancer,associated_with,co-occurrence,0.4225,44,435,WELL_STUDIED_PAIR,,,,,
Ruxolitinib,Ruxolitinib,CML,Ovarian_Cancer,associated_with,co-occurrence,0.4225,29,435,WELL_STUDIED_PAIR,,,,,
Ruxolitinib,Ruxolitinib,Pancreatic_Cancer,Ovarian_Cancer,associated_with,co-occurrence,0.4225,27,435,WELL_STUDIED_PAIR,,,,,
Ruxolitinib,Ruxolitinib,Soft_Tissue_Sarcoma,Ovarian_Cancer,associated_with,co-occurrence,0.4225,0,435,KNOWN_DRUG_NEW_CANCER,,,,,
Ruxolitinib,Ruxolitinib,Type2_Diabetes,Ovarian_Cancer,associated_with,co-occurrence,0.4225,0,435,KNOWN_DRUG_NEW_CANCER,,,,,
Suramin,Suramin,Soft_Tissue_Sarcoma,VEGFR2,associated_with,co-occurrence,0.4225,0,411,KNOWN_DRUG_NEW_CANCER,,,,,
Clarithromycin,Clarithromycin,AML,IL6,associated_with,co-occurrence,0.4225,15,637,KNOWN_DRUG_NEW_CANCER,YES,,,,
Propranolol,Propranolol,Colorectal_Cancer,VEGFR2,associated_with,co-occurrence,0.42,32,442,WELL_STUDIED_PAIR,YES,,,,
Nelfinavir,Nelfinavir,Pancreatic_Cancer,AKT1,associated_with,co-occurrence,0.4125,15,145,KNOWN_DRUG_NEW_CANCER,,,,,
Nelfinavir,Nelfinavir,Ovarian_Cancer,AKT1,associated_with,co-occurrence,0.4125,6,145,KNOWN_DRUG_NEW_CANCER,,,,,
Nelfinavir,Nelfinavir,Soft_Tissue_Sarcoma,AKT1,associated_with,co-occurrence,0.4125,0,145,KNOWN_DRUG_NEW_CANCER,,,,,
Nelfinavir,Nelfinavir,Myelofibrosis,AKT1,associated_with,co-occurrence,0.4125,0,145,KNOWN_DRUG_NEW_CANCER,,,,,
Nelfinavir,Nelfinavir,Type2_Diabetes,AKT1,associated_with,co-occurrence,0.4125,0,145,KNOWN_DRUG_NEW_CANCER,,,,,
Nelfinavir,Nelfinavir,Glioblastoma,AKT1,associated_with,co-occurrence,0.4125,13,145,KNOWN_DRUG_NEW_CANCER,,,,,
Nelfinavir,Nelfinavir,Li_Fraumeni_Syndrome,AKT1,associated_with,co-occurrence,0.4125,0,145,KNOWN_DRUG_NEW_CANCER,,,,,
Nelfinavir,Nelfinavir,CML,AKT1,associated_with,co-occurrence,0.4125,4,145,KNOWN_DRUG_NEW_CANCER,,,,,
Nelfinavir,Nelfinavir,Prostate_Cancer,AKT1,associated_with,co-occurrence,0.4125,7,145,KNOWN_DRUG_NEW_CANCER,,,,,
Nelfinavir,Nelfinavir,CLL,AKT1,associated_with,co-occurrence,0.4125,2,145,KNOWN_DRUG_NEW_CANCER,,,,,
Nelfinavir,Nelfinavir,Colorectal_Cancer,AKT1,associated_with,co-occurrence,0.4125,0,145,KNOWN_DRUG_NEW_CANCER,,,,,
Nelfinavir,Nelfinavir,GIST,AKT1,associated_with,co-occurrence,0.4125,0,145,KNOWN_DRUG_NEW_CANCER,,,,,
Nelfinavir,Nelfinavir,NSCLC,AKT1,associated_with,co-occurrence,0.4125,9,145,KNOWN_DRUG_NEW_CANCER,,,,,
Nelfinavir,Nelfinavir,Melanoma,AKT1,associated_with,co-occurrence,0.4125,6,145,KNOWN_DRUG_NEW_CANCER,,,,,
Nelfinavir,Nelfinavir,Ewing_Sarcoma,AKT1,associated_with,co-occurrence,0.4125,0,145,KNOWN_DRUG_NEW_CANCER,,,,,
Nelfinavir,Nelfinavir,HCC,AKT1,associated_with,co-occurrence,0.4125,2,145,KNOWN_DRUG_NEW_CANCER,,,,,
Nelfinavir,Nelfinavir,Multiple_Myeloma,AKT1,associated_with,co-occurrence,0.4125,21,145,KNOWN_DRUG_NEW_CANCER,,,,,
Clarithromycin,Clarithromycin,RCC,MTOR,associated_with,co-occurrence,0.41,1,637,KNOWN_DRUG_NEW_CANCER,YES,,,,
Leflunomide,Leflunomide,Soft_Tissue_Sarcoma,PDGFRA,associated_with,co-occurrence,0.408,0,101,KNOWN_DRUG_NEW_CANCER,,,,,
Clarithromycin,Clarithromycin,Ovarian_Cancer,IL6,associated_with,co-occurrence,0.403,2,637,KNOWN_DRUG_NEW_CANCER,YES,,,,
Clarithromycin,Clarithromycin,Breast_Cancer,MTOR,associated_with,co-occurrence,0.4,23,637,KNOWN_DRUG_NEW_CANCER,YES,,,,
Thalidomide,Thalidomide,Myelofibrosis,VEGFR2,associated_with,co-occurrence,0.396,102,1054,WELL_STUDIED_PAIR,YES,,,,
Thalidomide,Thalidomide,Type2_Diabetes,VEGFR2,associated_with,co-occurrence,0.396,0,1054,KNOWN_DRUG_NEW_CANCER,YES,,,,
Thalidomide,Thalidomide,Glioblastoma,VEGFR2,associated_with,co-occurrence,0.396,57,1054,WELL_STUDIED_PAIR,YES,,,,
Thalidomide,Thalidomide,Li_Fraumeni_Syndrome,VEGFR2,associated_with,co-occurrence,0.396,0,1054,KNOWN_DRUG_NEW_CANCER,YES,,,,
Thalidomide,Thalidomide,Prostate_Cancer,VEGFR2,associated_with,co-occurrence,0.396,115,1054,WELL_STUDIED_PAIR,YES,,,,
Thalidomide,Thalidomide,AML,VEGFR2,associated_with,co-occurrence,0.396,65,1054,WELL_STUDIED_PAIR,YES,,,,
Thalidomide,Thalidomide,Melanoma,VEGFR2,associated_with,co-occurrence,0.396,78,1054,WELL_STUDIED_PAIR,YES,,,,
Itraconazole,Itraconazole,Pancreatic_Cancer,VEGFR2,associated_with,co-occurrence,0.396,8,509,KNOWN_DRUG_NEW_CANCER,YES,,,,
Itraconazole,Itraconazole,Ovarian_Cancer,VEGFR2,associated_with,co-occurrence,0.396,16,509,KNOWN_DRUG_NEW_CANCER,YES,,,,
Itraconazole,Itraconazole,Myelofibrosis,VEGFR2,associated_with,co-occurrence,0.396,2,509,KNOWN_DRUG_NEW_CANCER,YES,,,,
Itraconazole,Itraconazole,Type2_Diabetes,VEGFR2,associated_with,co-occurrence,0.396,0,509,KNOWN_DRUG_NEW_CANCER,YES,,,,
Itraconazole,Itraconazole,Glioblastoma,VEGFR2,associated_with,co-occurrence,0.396,12,509,KNOWN_DRUG_NEW_CANCER,YES,,,,
Itraconazole,Itraconazole,Li_Fraumeni_Syndrome,VEGFR2,associated_with,co-occurrence,0.396,0,509,KNOWN_DRUG_NEW_CANCER,YES,,,,
Itraconazole,Itraconazole,CML,VEGFR2,associated_with,co-occurrence,0.396,5,509,KNOWN_DRUG_NEW_CANCER,YES,,,,
Itraconazole,Itraconazole,Prostate_Cancer,VEGFR2,associated_with,co-occurrence,0.396,18,509,KNOWN_DRUG_NEW_CANCER,YES,,,,
Itraconazole,Itraconazole,CLL,VEGFR2,associated_with,co-occurrence,0.396,3,509,KNOWN_DRUG_NEW_CANCER,YES,,,,
Itraconazole,Itraconazole,NSCLC,VEGFR2,associated_with,co-occurrence,0.396,15,509,KNOWN_DRUG_NEW_CANCER,YES,,,,
Itraconazole,Itraconazole,Melanoma,VEGFR2,associated_with,co-occurrence,0.396,15,509,KNOWN_DRUG_NEW_CANCER,YES,,,,
Itraconazole,Itraconazole,Ewing_Sarcoma,VEGFR2,associated_with,co-occurrence,0.396,1,509,KNOWN_DRUG_NEW_CANCER,YES,,,,
Itraconazole,Itraconazole,Multiple_Myeloma,VEGFR2,associated_with,co-occurrence,0.396,12,509,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ritonavir,Ritonavir,Colorectal_Cancer,NFKB1,associated_with,co-occurrence,0.396,3,236,KNOWN_DRUG_NEW_CANCER,YES,,,,
Propranolol,Propranolol,Soft_Tissue_Sarcoma,VEGFR2,associated_with,co-occurrence,0.39,3,442,KNOWN_DRUG_NEW_CANCER,YES,,,,
Clarithromycin,Clarithromycin,NSCLC,IL6,associated_with,co-occurrence,0.39,3,637,KNOWN_DRUG_NEW_CANCER,YES,,,,
Clarithromycin,Clarithromycin,Pancreatic_Cancer,IL6,associated_with,co-occurrence,0.39,3,637,KNOWN_DRUG_NEW_CANCER,YES,,,,
Clarithromycin,Clarithromycin,CML,IL6,associated_with,co-occurrence,0.39,6,637,KNOWN_DRUG_NEW_CANCER,YES,,,,
Clarithromycin,Clarithromycin,Colorectal_Cancer,IL6,associated_with,co-occurrence,0.39,8,637,KNOWN_DRUG_NEW_CANCER,YES,,,,
Nitroglycerin,Nitroglycerin,Breast_Cancer,HIF1A,associated_with,co-occurrence,0.39,16,107,KNOWN_DRUG_NEW_CANCER,YES,,,,
Nitroglycerin,Nitroglycerin,CML,HIF1A,associated_with,co-occurrence,0.39,0,107,KNOWN_DRUG_NEW_CANCER,YES,,,,
Imatinib,Imatinib,Breast_Cancer,AKT1,associated_with,co-occurrence,0.385,282,2935,WELL_STUDIED_PAIR,YES,,,,
Imatinib,Imatinib,HCC,AKT1,associated_with,co-occurrence,0.385,46,2935,WELL_STUDIED_PAIR,YES,,,,
Cimetidine,Cimetidine,Colorectal_Cancer,VEGFR2,associated_with,co-occurrence,0.385,48,355,WELL_STUDIED_PAIR,YES,,,,
Imatinib,Imatinib,Myelofibrosis,AKT1,associated_with,co-occurrence,0.385,75,2935,WELL_STUDIED_PAIR,YES,,,,
Imatinib,Imatinib,Type2_Diabetes,AKT1,associated_with,co-occurrence,0.385,0,2935,KNOWN_DRUG_NEW_CANCER,YES,,,,
Imatinib,Imatinib,Li_Fraumeni_Syndrome,AKT1,associated_with,co-occurrence,0.385,3,2935,KNOWN_DRUG_NEW_CANCER,YES,,,,
Imatinib,Imatinib,CLL,AKT1,associated_with,co-occurrence,0.385,50,2935,WELL_STUDIED_PAIR,YES,,,,
Imatinib,Imatinib,Melanoma,AKT1,associated_with,co-occurrence,0.385,272,2935,WELL_STUDIED_PAIR,YES,,,,
Ivermectin,Ivermectin,Pancreatic_Cancer,STAT3,associated_with,co-occurrence,0.385,4,202,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ivermectin,Ivermectin,Ovarian_Cancer,STAT3,associated_with,co-occurrence,0.385,16,202,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ivermectin,Ivermectin,Soft_Tissue_Sarcoma,STAT3,associated_with,co-occurrence,0.385,0,202,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ivermectin,Ivermectin,Myelofibrosis,STAT3,associated_with,co-occurrence,0.385,1,202,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ivermectin,Ivermectin,Type2_Diabetes,STAT3,associated_with,co-occurrence,0.385,0,202,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ivermectin,Ivermectin,Glioblastoma,STAT3,associated_with,co-occurrence,0.385,6,202,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ivermectin,Ivermectin,Li_Fraumeni_Syndrome,STAT3,associated_with,co-occurrence,0.385,0,202,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ivermectin,Ivermectin,CML,STAT3,associated_with,co-occurrence,0.385,3,202,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ivermectin,Ivermectin,Prostate_Cancer,STAT3,associated_with,co-occurrence,0.385,8,202,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ivermectin,Ivermectin,CLL,STAT3,associated_with,co-occurrence,0.385,0,202,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ivermectin,Ivermectin,Colorectal_Cancer,STAT3,associated_with,co-occurrence,0.385,11,202,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ivermectin,Ivermectin,GIST,STAT3,associated_with,co-occurrence,0.385,0,202,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ivermectin,Ivermectin,NSCLC,STAT3,associated_with,co-occurrence,0.385,2,202,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ivermectin,Ivermectin,Melanoma,STAT3,associated_with,co-occurrence,0.385,12,202,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ivermectin,Ivermectin,Ewing_Sarcoma,STAT3,associated_with,co-occurrence,0.385,0,202,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ivermectin,Ivermectin,HCC,STAT3,associated_with,co-occurrence,0.385,3,202,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ivermectin,Ivermectin,Multiple_Myeloma,STAT3,associated_with,co-occurrence,0.385,10,202,KNOWN_DRUG_NEW_CANCER,YES,,,,
Atorvastatin,Atorvastatin,HCC,KRAS,associated_with,co-occurrence,0.36,37,566,WELL_STUDIED_PAIR,YES,,,,
Atorvastatin,Atorvastatin,Glioblastoma,KRAS,associated_with,co-occurrence,0.36,27,566,WELL_STUDIED_PAIR,YES,,,,
Nitroglycerin,Nitroglycerin,Melanoma,HIF1A,associated_with,co-occurrence,0.36,4,107,KNOWN_DRUG_NEW_CANCER,YES,,,,
Nitroglycerin,Nitroglycerin,Prostate_Cancer,HIF1A,associated_with,co-occurrence,0.36,4,107,KNOWN_DRUG_NEW_CANCER,YES,,,,
Artesunate,Artesunate,Soft_Tissue_Sarcoma,VEGFR2,associated_with,co-occurrence,0.3575,1,458,KNOWN_DRUG_NEW_CANCER,,,,,
Cimetidine,Cimetidine,Soft_Tissue_Sarcoma,VEGFR2,associated_with,co-occurrence,0.3575,1,355,KNOWN_DRUG_NEW_CANCER,YES,,,,
Suramin,Suramin,Pancreatic_Cancer,VEGFR2,associated_with,co-occurrence,0.3575,4,411,KNOWN_DRUG_NEW_CANCER,,,,,
Suramin,Suramin,Ovarian_Cancer,VEGFR2,associated_with,co-occurrence,0.3575,13,411,KNOWN_DRUG_NEW_CANCER,,,,,
Suramin,Suramin,Myelofibrosis,VEGFR2,associated_with,co-occurrence,0.3575,0,411,KNOWN_DRUG_NEW_CANCER,,,,,
Suramin,Suramin,Type2_Diabetes,VEGFR2,associated_with,co-occurrence,0.3575,0,411,KNOWN_DRUG_NEW_CANCER,,,,,
Suramin,Suramin,Li_Fraumeni_Syndrome,VEGFR2,associated_with,co-occurrence,0.3575,0,411,KNOWN_DRUG_NEW_CANCER,,,,,
Suramin,Suramin,Prostate_Cancer,VEGFR2,associated_with,co-occurrence,0.3575,128,411,WELL_STUDIED_PAIR,,,,,
Suramin,Suramin,CLL,VEGFR2,associated_with,co-occurrence,0.3575,1,411,KNOWN_DRUG_NEW_CANCER,,,,,
Suramin,Suramin,AML,VEGFR2,associated_with,co-occurrence,0.3575,4,411,KNOWN_DRUG_NEW_CANCER,,,,,
Suramin,Suramin,NSCLC,VEGFR2,associated_with,co-occurrence,0.3575,7,411,KNOWN_DRUG_NEW_CANCER,,,,,
Suramin,Suramin,Melanoma,VEGFR2,associated_with,co-occurrence,0.3575,28,411,WELL_STUDIED_PAIR,,,,,
Suramin,Suramin,Ewing_Sarcoma,VEGFR2,associated_with,co-occurrence,0.3575,0,411,KNOWN_DRUG_NEW_CANCER,,,,,
Suramin,Suramin,Breast_Cancer,VEGFR2,associated_with,co-occurrence,0.3575,48,411,WELL_STUDIED_PAIR,,,,,
Suramin,Suramin,Multiple_Myeloma,VEGFR2,associated_with,co-occurrence,0.3575,5,411,KNOWN_DRUG_NEW_CANCER,,,,,
Ritonavir,Ritonavir,Pancreatic_Cancer,AKT1,associated_with,co-occurrence,0.3575,3,236,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ritonavir,Ritonavir,Ovarian_Cancer,AKT1,associated_with,co-occurrence,0.3575,4,236,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ritonavir,Ritonavir,Soft_Tissue_Sarcoma,AKT1,associated_with,co-occurrence,0.3575,0,236,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ritonavir,Ritonavir,Myelofibrosis,AKT1,associated_with,co-occurrence,0.3575,2,236,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ritonavir,Ritonavir,Type2_Diabetes,AKT1,associated_with,co-occurrence,0.3575,0,236,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ritonavir,Ritonavir,Glioblastoma,AKT1,associated_with,co-occurrence,0.3575,16,236,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ritonavir,Ritonavir,Li_Fraumeni_Syndrome,AKT1,associated_with,co-occurrence,0.3575,0,236,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ritonavir,Ritonavir,CML,AKT1,associated_with,co-occurrence,0.3575,19,236,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ritonavir,Ritonavir,Prostate_Cancer,AKT1,associated_with,co-occurrence,0.3575,11,236,KNOWN_DRUG_NEW_CANCER,YES,,,,
Ritonavir,Ritonavir,CLL,AKT1,associated_with,co-occurrence,0.3575,6,236,KNOWN_DRUG_NEW_CANCER,YES,,,,
